variable,label,,values,2007,2008,2009,2010,2011,2012,2014,2016
,,9, Missing,,,,,,,,
father_withchildren,Who live with your father now? Live with children in rotation?,0, Skip ,b15d08,b15d08,b16a08,b16a08,b16a08,b16a08,b20b08f1,b19a08f1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
father_withalone,Who live with your father now? Lining alone?,0, Skip ,b15d09,b15d09,b16a09,b16a09,b16a09,b16a09,b20b09f1,b19a09f1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
father_withretirementhome,Who live with your father now? Retirement home?,0, Skip ,b15d10,b15d10,b16a10,b16a10,b16a10,b16a10,b20b10f1,b19a10f1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
father_withmgrandchildren_ofson,Who live with your father now? Married grandchildren (son¡¦s child)?,0, Skip ,b15d11,b15d11,b16a11,b16a11,b16a11,b16a11,b20b11f1,b19a11m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
father_withmgrandchildren_ofdau,Who live with your father now? Married grandchildren (daughter¡¦s child)?,0, Skip ,b15d12,b15d12,b16a12,b16a12,b16a12,b16a12,b20b12f1,b19a12m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
father_withothers,Who live with your father now? Others(please specify)______?,0, Skip ,b15d13,b15d13,b16a13,b16a13,b16a13,b16a13,b20b19f1,b19a19m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
mother_withspouse,Who live with your mother now? Her spouse?,0, Skip ,b15e01,b15e01,b17a01,b17a01,b17a01,b17a01,b20b01m1,b19a01m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
mother_withmarriedson,Who live with your mother now? Married son?,0, Skip ,b15e02,b15e02,b17a02,b17a02,b17a02,b17a02,b20b02m1,b19a02m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
mother_withmarrieddaugh,Who live with your mother now? Married daughter?,0, Skip ,b15e03,b15e03,b17a03,b17a03,b17a03,b17a03,b20b03m1,b19a03m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
mother_withson,Who live with your mother now? Single son?,0, Skip ,b15e04,b15e04,b17a04,b17a04,b17a04,b17a04,b20b04m1,b19a04m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
mother_withdaugh,Who live with your mother now? Single daughter?,0, Skip ,b15e05,b15e05,b17a05,b17a05,b17a05,b17a05,b20b05m1,b19a05m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
mother_withsibling,Who live with your mother now? Sibling?,0, Skip ,b15e06,b15e06,b17a06,b17a06,b17a06,b17a06,b20b06m1,b19a06m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
mother_withrelatives,Who live with your mother now? Other relatives?,0, Skip ,b15e07,b15e07,b17a07,b17a07,b17a07,b17a07,b20b07m1,b19a07m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
mother_withchildren,Who live with your mother now? Live with children in rotation?,0, Skip ,b15e08,b15e08,b17a08,b17a08,b17a08,b17a08,b20b08m1,b19a08m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
mother_withalone,Who live with your mother now? Lining alone??,0, Skip ,b15e09,b15e09,b17a09,b17a09,b17a09,b17a09,b20b09m1,b19a09m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
mother_withretirementhome,Who live with your mother now? Retirement home?,0, Skip ,b15e10,b15e10,b17a10,b17a10,b17a10,b17a10,b20b10m1,b19a10m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
mother_withmgrandchildren_ofson,Who live with your mother now? Married grandchildren (son¡¦s child)?,0, Skip ,b15e11,b15e11,b17a11,b17a11,b17a11,b17a11,b20b11m1,b19a11m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
mother_withmgrandchildren_ofdau,Who live with your mother now? Married grandchildren (daughter¡¦s child)?,0, Skip ,b15e12,b15e12,b17a12,b17a12,b17a12,b17a12,b20b12m1,b19a12m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
mother_withothers,Who live with your mother now? Others(please specify)______?,0, Skip ,b15e13,b15e13,b17a13,b17a13,b17a13,b17a13,b20b19m1,b19a19m1
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
help_fromparents_sp,"Last year, had your spouse¡¦s parents provided you any assistance in living expe",0, Skip ,b16a01,b19a01,b19a01,b19a01,b19a01,b19a01,b24a01,b26a01
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
help_fromparents_sp_sum,"Last year, had your spouse¡¦s parents provided you any assistance in living expe",0,Skip ,b16a02,b19a02,b19a02,b19a02,b19a02,b19a02,b24a02,b26a02
,,9999996, Don¡¦t knows ,,,,,,,,
,,9999998, Refuse to answer,,,,,,,,
,,9999999,Missing,,,,,,,,
help_toparents_sp,"Last year, had you or your spouse ever provided your parents-in-law any allowanc",0, Skip ,b16b01,b19b01,b19b01,b19b01,b19b01,b19b01,b24b01,b26b01
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
,,0,Skip ,,,,,,,,
help_toparents_sp_sum,"Last year, had you or your spouse ever provided your parents-in-law any allowanc",9999991, It¡¦s not fixed,b16b02,b19b02,b19b02,b19b02,b19b02,b19b02,b24b02,b26b02
,,9999996, Don¡¦t knows ,,,,,,,,
,,9999998, Refuse to answer,,,,,,,,
,,9999999,Missing,,,,,,,,
,,,,,,,,,,,
sp_parents_pension," Last year, had your parent have access retirement benefits? ",0, Skip ,b16c01,b19c01,b19c01,b19c01,b19c01,b19c01,b24c01,b26c01
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
sp_parents_welfare," Last year, had your parent have access social welfare benefits?",0, Skip ,b16c02,b19c02,b19c02,b19c02,b19c02,b19c02,b24c02,b26c02
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
,,,,,,,,,,,
sp_father_withspouse, Who live with your father-in-law now? His spouse?,0, Skip ,b16d01,b19d01,b20a01,b20a01,b20a01,b20a01,b23c01f2,b24a01f2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_father_withmarriedson, Who live with your father-in-law now? Married son?,0, Skip ,b16d02,b19d02,b20a02,b20a02,b20a02,b20a02,b23c02f2,b24a02f2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_father_withmarrieddaugh, Who live with your father-in-law now? Married daughter?,0, Skip ,b16d03,b19d03,b20a03,b20a03,b20a03,b20a03,b23c03f2,b24a03f2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_father_withson, Who live with your father-in-law now? Single son?,0, Skip ,b16d04,b19d04,b20a04,b20a04,b20a04,b20a04,b23c04f2,b24a04f2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_father_withdaugh, Who live with your father-in-law now? Single daughter?,0, Skip ,b16d05,b19d05,b20a05,b20a05,b20a05,b20a05,b23c05f2,b24a05f2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_father_withsibling, Who live with your father-in-law now? Sibling?,0, Skip ,b16d06,b19d06,b20a06,b20a06,b20a06,b20a06,b23c06f2,b24a06f2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_father_withrelatives, Who live with your father-in-law now? Other relatives?,0, Skip ,b16d07,b19d07,b20a07,b20a07,b20a07,b20a07,b23c07f2,b24a07f2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_father_withchildren, Who live with your father-in-law now? Live with children in rotation?,0, Skip ,b16d08,b19d08,b20a08,b20a08,b20a08,b20a08,b23c08f2,b24a08f2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_father_withalone, Who live with your father-in-law now? Living alone?,0, Skip ,b16d09,b19d09,b20a09,b20a09,b20a09,b20a09,b23c09f2,b24a09f2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_father_withretirementhome, Who live with your father-in-law now? Retirement home?,0, Skip ,b16d10,b19d10,b20a10,b20a10,b20a10,b20a10,b23c10f2,b24a10f2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_father_withmgc_ofson, Who live with your father-in-law now? Married grandchildren (son¡¦s child)?,0, Skip ,b16d11,b19d11,b20a11,b20a11,b20a11,b20a11,b23c11f2,b24a11f2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_father_withmgc_ofdau, Who live with your father-in-law now? Married grandchildren (daughter¡¦schild)?,0, Skip ,b16d12,b19d12,b20a12,b20a12,b20a12,b20a12,b23c12f2,b24a12f2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_father_withothers, Who live with your father-in-law now? Others(please specify)__________?,0, Skip ,b16d13,b19d13,b20a13,b20a13,b20a13,b20a13,b23c19f2,b24a19f2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_mother_withspouse, Who live with your mother-in-law now? His spouse?,0, Skip ,b16d01,b19d01,b20a01,b20a01,b20a01,b20a01,b23c01m2,b24a01m2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_mother_withmarriedson, Who live with your mother-in-law now? Married son?,0, Skip ,b16d02,b19d02,b20a02,b20a02,b20a02,b20a02,b23c02m2,b24a02m2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_mother_withmarrieddaugh, Who live with your mother-in-law now? Married daughter?,0, Skip ,b16d03,b19d03,b20a03,b20a03,b20a03,b20a03,b23c03m2,b24a03m2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_mother_withson, Who live with your mother-in-law now? Single son?,0, Skip ,b16d04,b19d04,b20a04,b20a04,b20a04,b20a04,b23c04m2,b24a04m2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_mother_withdaugh, Who live with your mother-in-law now? Single daughter?,0, Skip ,b16d05,b19d05,b20a05,b20a05,b20a05,b20a05,b23c05m2,b24a05m2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_mother_withsibling, Who live with your mother-in-law now? Sibling?,0, Skip ,b16d06,b19d06,b20a06,b20a06,b20a06,b20a06,b23c06m2,b24a06m2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_mother_withrelatives, Who live with your mother-in-law now? Other relatives?,0, Skip ,b16d07,b19d07,b20a07,b20a07,b20a07,b20a07,b23c07m2,b24a07m2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_mother_withchildren, Who live with your mother-in-law now? Live with children in rotation?,0, Skip ,b16d08,b19d08,b20a08,b20a08,b20a08,b20a08,b23c08m2,b24a08m2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_mother_withalone, Who live with your mother-in-law now? Living alone?,0, Skip ,b16d09,b19d09,b20a09,b20a09,b20a09,b20a09,b23c09m2,b24a09m2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_mother_withretirementhome, Who live with your mother-in-law now? Retirement home?,0, Skip ,b16d10,b19d10,b20a10,b20a10,b20a10,b20a10,b23c10m2,b24a10m2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_mother_withmgc_ofson, Who live with your mother-in-law now? Married grandchildren (son¡¦schild)?,0, Skip ,b16d11,b19d11,b20a11,b20a11,b20a11,b20a11,b23c11m2,b24a11m2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_mother_withmgc_ofdau, Who live with your mother-in-law now? Married grandchildren (daughter¡¦schild)?,0, Skip ,b16d12,b19d12,b20a12,b20a12,b20a12,b20a12,b23c12m2,b24a12m2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
sp_mother_withothers, Who live with your mother-in-law now? Others(please specify)_________?,0, Skip ,b16d13,b19d13,b20a13,b20a13,b20a13,b20a13,b23c19m2,b24a19m2
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,9, Missing,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
housework," Last year(2006), how many hours per week do you spend on housework?____ hours",991, It¡¦s not fixed,d01a,c01a,c01a,c01a,c01a,d01a,c01a,c02a
,,996, Don¡¦t knows ,,,,,,,,
,,998, Refuse to answer,,,,,,,,
sp_housework," Last year, how many hours per week does your spouse spend on housework? ___hour",991, It¡¦s not fixed,d01b,c01b,c01b,c01b,c01b,d01b,c01b,c02b
,,996, Don¡¦t knows ,,,,,,,,
,,998, Refuse to answer,,,,,,,,
pers_income, Last year (2006) how much was your total income from work? totaling a year: NT$,9999991," It¡¦s not fixed,loss or tie.",d03a02,c03a02,c03a02,c03a02,c03a02,d03a02,c03a02,c04a02
,,9999992, It can not be estimated.,,,,,,,,
,,9999995,More than 9999995 recoreded 9999995 over.,,,,,,,,
,,9999996, Don¡¦t knows ,,,,,,,,
,,9999998, Refuse to answer,,,,,,,,
,,9999999,Missing,,,,,,,,
sp_pers_income, Last year (2006) how much is the total income of your spouse from work? totalin,9999991,"It¡¦s not fixed,loss or tie ",d03b02,c03b02,c03b02,c03b02,c03b02,d03b02,c03b02,c04b02
,,9999992,It can not be estimated.,,,,,,,,
,,9999996, Don¡¦t knows ,,,,,,,,
,,9999998, Refuse to answer,,,,,,,,
,,9999999,Missing,,,,,,,,
gov_childcare, Did your family receive the allowance for child care Education grants last year,0, Skip ,d06a04,c06a04,c06a04,c06a04,c06a04,d06a04,c06a04,c08a04
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
gov_elderly, Did your family receive the allowance for the elderly (including the elderly fa,0, Skip ,d06a05,c06a05,c06a05,c06a05,c06a05,d06a05,c06a05,c08a05
,,1,Yes,,,,,,,,
,,2, No,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
gov_total, How much is the total subsidies that your family received from the government l,9999996, Don¡¦t knows ,d06b,c06b,c06b,c06c,c06c,d07,c06c,c08c
,,9999998, Refuse to answer,,,,,,,,
,,9999999,Missing,,,,,,,,
job_satisfaction, Are you satisfied with your current job? ,0, Have no job now ,d07d,c07a,c07a,c07a,c07a,e01a,c07a,a06b
,,1,very satisfied,,,,,,,,
,,2, Satisfied,,,,,,,,
,,3, dissatisfied ,,,,,,,,
,,4, very dissatisfied ,,,,,,,,
family_satisfaction, Are you satisfied with your family life?,1,very satisfied,d07e,c07b,c07b,c07b,c07b,e01b,c07b,b12
,,2, Satisfied,,,,,,,,
,,3, dissatisfied ,,,,,,,,
,,4, very dissatisfied ,,,,,,,,
,,8, Refuse to answer,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
want_child, Do you and your spouse plan to have another child in the future? ,0, Skip ,f01,e01,e02,e03,e03,f03,d03,d03
,,1,Yes ,,,,,,,,
,,2, No ,,,,,,,,
,,3, I¡¦m not sure.,,,,,,,,
,,9, Missing,,,,,,,,
boy_girl, Do you and your spouse prefer to have a boy or a girl? ,0, Skip ,f02,e02,e03,e04,e04,f04,d04,d04
,,1,Boy ,,,,,,,,
,,2, Girl ,,,,,,,,
,,3, Equally can ,,,,,,,,
,,9, Missing,,,,,,,,
parents_pressure, Do you feel pressure from your or your spouse¡¦s parents to have a son? ,0, Skip ,f03,e03,e01,e01,e01,f01,d01,d01
,,1,Yes ,,,,,,,,
,,2, No ,,,,,,,,
,,6,Don¡¦t knows ,,,,,,,,
,,9, Missing,,,,,,,,
residence,Present address,2, Mainland China,x05,x05,x05,x05,x05,x05,x05,x05
,,3,Hong Kong/Macau,,,,,,,,
,,99,Other foreign country,,,,,,,,
,,100,"Zhongzheng Dist., Taipei City",,,,,,,,
,,103,"Datong Dist., Taipei City",,,,,,,,
,,104,"Zhongshan Dist., Taipei City",,,,,,,,
,,105,"Songshan Dist., Taipei City",,,,,,,,
,,106,"Da'an Dist., Taipei City",,,,,,,,
,,108,"Wanhua Dist., Taipei City",,,,,,,,
,,110,"Xinyi Dist., Taipei City",,,,,,,,
,,111,"Shilin Dist., Taipei City",,,,,,,,
,,112,"Beitou Dist., Taipei City",,,,,,,,
,,114,"Neihu Dist., Taipei City",,,,,,,,
,,115,"Nangang Dist., Taipei City",,,,,,,,
,,116,"Wenshan Dist., Taipei City",,,,,,,,
,,200,"Ren'ai Dist., Keelung City",,,,,,,,
,,201,"Xinyi Dist., Keelung City",,,,,,,,
,,202,"Zhongzheng Dist., Keelung City",,,,,,,,
,,203,"Zhongshan Dist., Keelung City",,,,,,,,
,,204,"Anle Dist., Keelung City",,,,,,,,
,,205,"Nuannuan Dist., Keelung City",,,,,,,,
,,206,"Qidu Dist., Keelung City",,,,,,,,
,,207,"Wanli Dist., Taipei County",,,,,,,,
,,208,"Jinshan Dist., Taipei County",,,,,,,,
,,209,"Nangan Township, Lienchiang County",,,,,,,,
,,210,"Beigan Township, Lienchiang County",,,,,,,,
,,211,"Juguang Township, Lienchiang County",,,,,,,,
,,212,"Dongyin Township, Lienchiang County",,,,,,,,
,,213,Lienchiang County,,,,,,,,
,,214,Keelung City,,,,,,,,
,,220,"Banqiao Dist., Taipei County",,,,,,,,
,,221,"Xizhi Dist., Taipei County",,,,,,,,
,,222,"Shenkeng Dist., Taipei County",,,,,,,,
,,223,"Shiding Dist., Taipei County",,,,,,,,
,,224,"Ruifang Dist., Taipei County",,,,,,,,
,,226,"Pingxi Dist., Taipei County",,,,,,,,
,,227,"Shuangxi Dist., Taipei County",,,,,,,,
,,228,"Gongliao Dist., Taipei County",,,,,,,,
,,231,"Xindian Dist., Taipei County",,,,,,,,
,,232,"Pinglin Dist., Taipei County",,,,,,,,
,,233,"Wulai Dist., Taipei County",,,,,,,,
,,234,"Yonghe Dist., Taipei County",,,,,,,,
,,235,"Zhonghe Dist., Taipei County",,,,,,,,
,,236,"Tucheng Dist., Taipei County",,,,,,,,
,,237,"Sanxia Dist., Taipei County",,,,,,,,
,,238,"Shulin Dist., Taipei County",,,,,,,,
,,239,"Yingge Dist., Taipei County",,,,,,,,
,,241,"Sanchong Dist., Taipei County",,,,,,,,
,,242,"Xinzhuang Dist., Taipei County",,,,,,,,
,,243,"Taishan Dist., Taipei County",,,,,,,,
,,244,"Linkou Dist., Taipei County",,,,,,,,
,,247,"Luzhou Dist., Taipei County",,,,,,,,
,,248,"Wugu Dist., Taipei County",,,,,,,,
,,249,"Bali Dist., Taipei County",,,,,,,,
,,251,"Tamsui Dist., Taipei County",,,,,,,,
,,252,"Sanzhi Dist., Taipei County",,,,,,,,
,,253,"Shimen Dist., Taipei County",,,,,,,,
,,254,Taipei County,,,,,,,,
,,260,"Yilan City, Yilan County",,,,,,,,
,,261,"Toucheng Township, Yilan County",,,,,,,,
,,262,"Jiaoxi Township, Yilan County",,,,,,,,
,,263,"Zhuangwei Township, Yilan County",,,,,,,,
,,264,"Yuanshan Township, Yilan County",,,,,,,,
,,265,"Luodong Township, Yilan County",,,,,,,,
,,266,"Sanxing Township, Yilan County",,,,,,,,
,,267,"Datong Township, Yilan County",,,,,,,,
,,268,"Wujie Township, Yilan County",,,,,,,,
,,269,"Dongshan Township, Yilan County",,,,,,,,
,,270,"Su'ao Township, Yilan County",,,,,,,,
,,272,"Nan'ao Township, Yilan County",,,,,,,,
,,273,Yilan County,,,,,,,,
,,290,Diaoyutai,,,,,,,,
,,300,Hsinchu City,,,,,,,,
,,302,"Zhubei City, Hsinchu County",,,,,,,,
,,303,"Hukou Township, Hsinchu County",,,,,,,,
,,304,"Xinfeng Township, Hsinchu County",,,,,,,,
,,305,"Xinpu Township, Hsinchu County",,,,,,,,
,,306,"Guanxi Township, Hsinchu County",,,,,,,,
,,307,"Qionglin Township, Hsinchu County",,,,,,,,
,,308,"Baoshan Township, Hsinchu County",,,,,,,,
,,310,"Zhudong Township, Hsinchu County",,,,,,,,
,,311,"Wufeng Township, Hsinchu County",,,,,,,,
,,312,"Hengshan Township, Hsinchu County",,,,,,,,
,,313,"Jianshi Township, Hsinchu County",,,,,,,,
,,314,"Beipu Township, Hsinchu County",,,,,,,,
,,315,"Emei Township, Hsinchu County",,,,,,,,
,,316,Hsinchu County,,,,,,,,
,,325,"Longtan Township, Taoyuan County",,,,,,,,
,,326,"Yangmei City, Taoyuan County",,,,,,,,
,,327,"Xinwu Township, Taoyuan County",,,,,,,,
,,328,"Guanyin Township, Taoyuan County",,,,,,,,
,,330,"Taoyuan City, Taoyuan County",,,,,,,,
,,333,"Guishan Township, Taoyuan County",,,,,,,,
,,334,"Bade City, Taoyuan County",,,,,,,,
,,335,"Daxi Township, Taoyuan County",,,,,,,,
,,336,"Fuxing Township, Taoyuan County",,,,,,,,
,,337,"Dayuan Township, Taoyuan County",,,,,,,,
,,338,"Luzhu Township, Taoyuan County",,,,,,,,
,,339,Taoyuan County,,,,,,,,
,,350,"Zhunan Township, Miaoli County",,,,,,,,
,,351,"Toufen Township, Miaoli County",,,,,,,,
,,352,"Sanwan Township, Miaoli County",,,,,,,,
,,353,"Nanzhuang Township, Miaoli County",,,,,,,,
,,354,"Shitan Township, Miaoli County",,,,,,,,
,,356,"Houlong Township, Miaoli County",,,,,,,,
,,357,"Tongxiao Township, Miaoli County",,,,,,,,
,,358,"Yuanli Township, Miaoli County",,,,,,,,
,,360,"Miaoli City, Miaoli County",,,,,,,,
,,361,"Zaoqiao Township, Miaoli County",,,,,,,,
,,362,"Touwu Township, Miaoli County",,,,,,,,
,,363,"Gongguan Township, Miaoli County",,,,,,,,
,,364,"Dahu Township, Miaoli County",,,,,,,,
,,365,"Tai'an Township, Miaoli County",,,,,,,,
,,366,"Tongluo Township, Miaoli County",,,,,,,,
,,367,"Sanyi Township, Miaoli County",,,,,,,,
,,368,"Xihu Township, Miaoli County",,,,,,,,
,,369,"Zhuolan Township, Miaoli County",,,,,,,,
,,370,Miaoli County,,,,,,,,
,,399,Hsinchu City and Hsinchu County,,,,,,,,
,,400,"Central Dist., Taichung City",,,,,,,,
,,401,"East Dist., Taichung City",,,,,,,,
,,402,"South Dist., Taichung City",,,,,,,,
,,403,"West Dist., Taichung City",,,,,,,,
,,404,"North Dist., Taichung City",,,,,,,,
,,406,"Beitun Dist., Taichung City",,,,,,,,
,,407,"Xitun Dist., Taichung City",,,,,,,,
,,408,"Nantun Dist., Taichung City",,,,,,,,
,,409,Taichung City,,,,,,,,
,,411,"Taiping Dist., Taichung County",,,,,,,,
,,412,"Dali Dist., Taichung County",,,,,,,,
,,413,"Wufeng Dist., Taichung County",,,,,,,,
,,414,"Wuri Dist., Taichung County",,,,,,,,
,,420,"Fengyuan Dist., Taichung County",,,,,,,,
,,421,"Houli Dist., Taichung County",,,,,,,,
,,422,"Shigang Dist., Taichung County",,,,,,,,
,,423,"Dongshi Dist., Taichung County",,,,,,,,
,,424,"Heping Dist., Taichung County",,,,,,,,
,,426,"Xinshe Dist., Taichung County",,,,,,,,
,,427,"Tanzi Dist., Taichung County",,,,,,,,
